name,price
包邮 用Python写网络爬虫 +深入理解 Flask 2本,94.00
正版  新书  Python机器学习及实践---- 从零开始通往Kaggle竞赛之路 创意,39.20
贝叶斯方法 概率编程与贝叶斯推断,46.20
Python并行编程参考手册(影印版) 计算机与互联网 书籍,40.90
Python数据分析实战 计算机与互联网 书籍,51.40
Python程序设计案例教程 徐光侠等主编 计算机与互联网 书籍,45.40
易学Python 计算机与互联网 书籍,32.90
Python和HDF5大数据应用 计算机与互联网 书籍,28.40
Python编程基础 闫俊伢主编 计算机与互联网 书籍,34.20
Python参考手册（第4版·修订版）python学习手册核心编程,64.00
Python数据分析实战/数据分析与决策技术丛书,61.62
Python数据科学实践指南/大数据技术丛书,45.43
包邮 树莓派开发实战（第2版）+数字匠人:树莓派Python编程指南 2本,112.00
包邮 Python Web开发实战+用Python写网络爬虫 2本,114.00
Java从入门到精通+C语言从入门到精通+Python编程从入门到实践 全3册 程序设计,153.00
包邮 零起点python足彩大数据与机器学习实盘分析人工智能算法大数据分析 Python,73.50
包邮 Python地理数据处理+Python数据抓取技术与实战 2本  python编程语,93.00
包邮 Python可以这样学+零基础入门学习Python 2本,90.00
Python+Spark 2 0+Hadoop机器学习与大数据实战,69.30
程序员入门 全9册 java+C语言+Python+C#+C++从入门到精通 编程思想从入,654.00
Python编程快速上手让繁琐工作自动化+Python核心编程 第3版 全2册,139.10
包邮  Python地理空间分析指南（第2版）Python语言编程教程书籍,60.30
包邮 Python数据处理+Python高性能编程 python编程教程书籍,130.00
Python数据分析,48.40
Python全栈开发实践入门 谢瑛俊编 计算机与互联网 书籍,51.10
从Python开始学编程 Vamei 电子工业出版社,40.00
高性能Python(影印版) 计算机与互联网 书籍,48.40
包邮Python机器学习基础教程+Python数据科学手册,141.80
Python项目开发实战(第2版)/图灵程序设计丛书,69.30
PYTHON高性能编程+流畅的Python  Python 学习入门到进阶 Python,175.60
零起点Python足彩大数据与机器学习实盘分析 何海群 计算机与互联网 书籍,73.30
Python高性能编程 计算机与互联网 书籍,52.10
树莓派Python编程入门与实战(第2版) 计算机与互联网 书籍,50.40
Python地理数据处理 计算机与互联网 书籍,57.70
包邮NLTK基础教程+Python机器学习及实践 从零开始通往Kaggle竞赛之路 2本,74.00
包邮 Python数据可视化 python面向对象应用程序设计教程 编程教程教材 pyt,53.00
区域包邮 网站渗透测试实战入门+Python黑帽子:黑客与渗透测试编程之道  2本,70.00
包邮 Python数字信号处理应用+数字信号处理,97.50
包邮MicroPython入门指南+micro:bit 入门指南,110.00
包邮 Python学习从入门到实践 python网络爬虫  Python基础教程书籍 p,37.90
区域包邮Python 黑帽子：黑客与渗透测试编程之道+黑客秘笈:渗透测试实用指南2本现货,74.00
利用Python进行数据分析 pandas数据结构入门介绍 数据聚合与分组运算 数据挖掘,89.00
包邮 机器学习Web应用+智能Web算法(第2版)  2本  python深度学习机器学习,97.00
机器学习：从公理到算法+深度学习、优化与识别 python机器学习入门教程书籍,156.00
网络爬虫全解析——技术、原理与实践 网络爬虫教程书籍 python网络爬虫,59.20
包邮 轻量级Django+Django开发宝典  2本 python django基础教程,82.00
包邮 从零开始学Python程序设计 python初学者指南 网络爬虫 数据采集 基础计,62.60
漏洞战争：软件漏洞分析精要+Web安全深度剖析+揭秘家用路由器+Python绝技,248.60
python编程快速上手让繁琐工作自动化+Java编程思想（第4版）2册,145.70
包邮 从零开始学Python网络爬虫 Python网络爬虫开发原理工具书 python网,47.60
人邮新书 Python数据科学手册 数据分析计算书籍 机器学习 NumPy数据存储 Ma,109.00
Python**编程,32.37
逆向工程权威指南 上下册+Python黑帽子：黑客与渗透测试编程之道 2册,166.00
Python计算机视觉编程,67.00
Python语言程序设计 计算机与互联网 书籍,75.80
Python贝叶斯分析 计算机与互联网 书籍,55.20
Abaqus GUI程序开发指南 Python语言 贾利勇等编 计算机与互联网 书籍,43.10
包邮深入理解 Flask+Flask Web开发:基于Python的Web应用开发实战,103.00
Python3.5从零开始学,46.61
Python网络编程第3版 Python3爬虫数据分析编程理解技术  python程序教材,58.00
包邮 Python Qt GUI快速编程:PyQt编程指南 计算机网络 python语言,62.00
Python数据可视化 计算机与互联网 书籍,44.80
Python物理学高效计算,69.30
包邮 Python程序设计教程 涵盖python3.0到3.5实用特性   python,45.80
补货预售 量化投资：以Python为工具+零起点Python大数据与量化交易 套装2册,163.00
包邮 精通Python自然语言处理   python自然语言编程指南 python程序设,45.00
包邮 Python程序设计与算法基础教程（21世纪高等学校计算机专业实用规划教材）Pyt,45.00
Python网络爬虫实战+Python数据抓取技术与实战+用Python写网络爬虫共3本,112.00
包邮 从零开始学Python程序设计 Python程序设计语言基础入门教程书籍,62.60
Python科学计算基础教程 计算机与互联网 书籍,37.20
Python数据科学指南 计算机与互联网 书籍,57.60
Python新手使用Django架站的16堂课 何敏煌 计算机与互联网 书籍,66.70
PySpark实战指南 利用Python和Spark构建数据密集型应用并规模化部署 计算,25.00
预售 包邮 Python编程导论（2版）Python3编程教程 数据分析建模机器学习书籍,53.60
BF【全新正版】/Python核心编程-(第3版) 9787115414779 人民邮电出,84.20
精通Python设计模式 计算机与互联网 书籍,32.90
Python Web开发 测试驱动方法 计算机与互联网 书籍,72.30
跟老齐学Python：Django实战 Django开发实战教程书籍 Django框架架,68.25
Python项目开发实战 计算机与互联网 书籍,40.10
Python编程入门(第3版 ) 计算机与互联网 书籍,28.50
教孩子学编程 Python语言版+趣学Python+趣学JavaScript 教孩子学编程,132.80
包邮 Python机器学习及实践+实用机械学习+大战机械学习+深入浅出深度学习 机械,199.50
包邮 Python高性能编程 python编程教程书籍 python核心编程 python,60.50
包邮 Python物理建模初学者指南  python数据结构设计教程书籍 python语,45.80
包邮 机器学习 从公理到算法+深入浅出深度学习 原理剖析与Python实践,119.00
区域包邮 利用Python进行数据分析+Python网络数据采集 2本,111.00
Tensorflow：实战Google深度学习框架+Python机器学习及实践,96.00
Python基础教程 第3版 图灵程序设计丛书 编程新手入门 软件工具 python,73.20
面向机器智能的TensorFlow实践+Python大战机器学习,103.50
2018新版 现货Python编程从入门到实践python3.5绝技核心编程基础教程网络爬,85.41
【经典版】利用Python进行数据分析 Python核心编程教材 数据挖掘 大数据统计分析,78.30
正版 Python数据分析实战 python语言教程书籍 利用Python进行数据分析,67.00
Python与机器学习实战：决策树、集成学习、支持向量机与神经网络算法,63.00
正版现货 Python网络爬虫从入门到实践 零基础自学Python编程从入门到精通教程书籍,33.00
Python Web开发实战+Flask Web开发+ 测试驱动方法+高效开发实战共4本,258.00
Python数据科学实践指南/大数据技术丛书,45.43
小程序 巧应用+从Python开始学编程+用Python写网络爬虫+开发实战 四册,188.80
Python高级编程 第2版 python 程序设计 编程源代码开发基,62.30
贝叶斯方法+贝叶斯思维+Python贝叶斯分析+深入浅出深度学习：原理剖析与Python,191.00
包邮 Python高性能编程+Python爬虫开发与项目实战 2本,120.00
Python程序设计案例课堂 刘春茂裴雨龙等编 计算机与互联网 书籍,46.20
Python全栈数据工程师养成攻略(视频讲解版) 张宏伦编 计算机与互联网 书籍,47.80
Python极客项目编程 计算机与互联网 书籍,50.30
Python数据科学导论 等 计算机与互联网 书籍,38.40
数据科学实战手册 R+Python 等 计算机与互联网 书籍,43.10
Python数据科学实践指南 纪路 计算机与互联网 书籍,38.40
Python数据抓取技术与实战 潘庆和赵星驰编 计算机与互联网 书籍,44.90
【新版】Python程序设计第3版  Python3 爬虫Python核心编程基础教程,65.00
Python参考手册(第4版.修订版),75.70
Python数据分析 计算机与互联网 书籍,43.10
Python网络编程攻略 计算机与互联网 书籍,32.80
Python Web开发学习实录 配光盘  Web程序员成功之路  李勇王文强 计算机与,42.90
Python学习 从入门到实践 王学颖等编 计算机与互联网 书籍,39.40
ABAQUS Python二次开发攻略 苏景鹤江丙云编 计算机与互联网 书籍,43.70
教孩子学编程+父与子的编程之旅:与小卡特一起学PythonPython语言版python,95.60
包邮   Python机器学习算法+深入浅出深度学习：原理剖析与Python实践,110.90
包邮  深度学习原理与TensorFlow实践+Python大战机器学习 共2本,116.00
包邮 Python与机器学习实战+深入浅出深度学习:原理剖析与Python实践 2本,112.00
包邮 Python爬虫开发与项目实战 +精通Python网络爬虫:核心技术、框架与项目实战,112.00
阻击黑客：技术、策略与案例+Python绝技:运用Python成为黑客 2册,118.00
包邮 预测分析 Python语言实现+预测分析建模:Python与R语言实现 2本,104.00
包邮 轻量级Django+Python高效开发实战  2本,97.00
包邮  Python机器学习实践指南+ 零起点Python机器学习快速入门,96.00
包邮 Python高级编程 第2版 Python编程语言教程书籍 python 程序设计,66.90
包邮Python数据挖掘入门与实践+Python性能分析与优化  2本,77.00
4册 MicroPython入门指南+Arduino从入门到精通10讲+,152.80
包邮 Python全栈开发实践入门 python全栈开发教程书籍 python全栈开发工,53.00
包邮 从零开始学Python网络爬虫+用Python写网络爬虫+Python网络数据采集,121.00
包邮  营销数据科学：用R和Python进行预测分析的建模技术,63.50
包邮 Python数据分析实战 计算机 网络 程序设计 数据分析 数据可视化,59.80
Tensorflow：实战Google深度学习框架+Python机器学习  2本,110.00
包邮 Python大战机器学习 数据科学家的个小目标+Python机器学习及实践,85.80
包邮 数据天才：数据科学家修炼之道+Python大战机器学习:数据科学家的个小目标,115.00
趣学Python 教孩子学编程 计算机与互联网 书籍,38.90
Python高性能编程 深度学习,142.80
Python基础教程（3版）图灵程序设计丛书,73.90
Python大战机器学习+TensorFlow实战+机器学习算法+机器学习及实战,199.00
包邮 NLTK基础教程 用NLTK和Python库构建机器学习应用  自然语言处理 NL,36.80
Python全栈开发实践入门 python书籍 Python Web Flask框架,53.60
包邮 零起点python足彩大数据与机器学习实盘分析 人工智能算法 大数据分析书,73.50
包邮 Python数字信号处理应用 Python在DSP中应用教程书籍,36.60
Python语言程序设计基础 第 二版  教育部大学计算机课程改革项目规划教材 教正版,33.30
图解服务器端网络架构 编程 计算机书籍 python爬虫 游戏开发 局域网组建 网站开发,58.40
Python程序设计——从基础到开发,35.00
Python大战机器学习：数据科学家的个小目标+面向机器学习的自然语言标注 2本,109.90
正版包邮 Python极客项目编程,47.52
Python数据分析基础 计算机与互联网 书籍,52.40
机器人Python极客编程入门与实战,47.20
Python编程 从入门到实践 核心编程语言书籍 计算机程序设计从零到精通到实践手册,68.80
Python 3.5从零开始学 9787302475965 刘宇宙,41.30
Python数据分析与数据化运营 计算机与互联网 书箱|6998727,69.30
正版包邮 Python爬虫开发与项目实战,54.00
Python与有限元--基于Python编程的有限元分析及应用扩展,50.60
数据结构（Python语言描述）兰伯特 Python编程基础教程书籍,49.60
包邮 Python金融衍生品大数据分析：建模、模拟、校准与对冲 python大数据分析技术,65.80
Maya Python 游戏与影视编程指南,55.30
贝叶斯思维 统计建模的Python学习法 程序设计书籍,39.20
机器人Python极客编程入门与实战 Python极客团队 电子工业出版社 9787121,47.20
包邮 Python金融大数据分析+利用Python进行数据分析,141.00
流畅的Python/图灵程序设计丛书,107.03
从芯片到云端：Python物联网全栈开发实践 计算机与互联网 书箱|6785177,95.20
和孩子一起玩编程 趣学python 少儿编程 中小学编程入门书 青少年编程培训书籍,53.90
和孩子一起玩编程 趣学python 少儿编程真好玩 中小学编程入门书 青少年编程培训班教材,55.20
包邮Python+Spark 2.0+Hadoop机器学习与大数据实战,73.80
Python编程从入门到实践 python3.0基础教程 精通核心编程语言书籍 计算机程序,64.74
